question_key,paper,source_question_id,skills,R,P,D,I,C,E,errors,rater,status,notes
# Hand-rated RPDICE for questions from the five sample papers. status = draft until a
# person confirms it. Levels follow docs/rpdice_rubric.md. skills / errors use ";".
b584940bfebb:4(a),2526_1st_S4MATH1.pdf,4(a),na.factor.dos,1,1,1,0,1,2,err.dos.as-square-of-difference,claude-draft,draft,9a² − 25: the squares are cued by the notation
b584940bfebb:4(c),2526_1st_S4MATH1.pdf,4(c),na.factor.common;na.factor.complete,2,1,2,1,1,2,err.factor.sign-in-bracket;err.factor.incomplete,claude-draft,draft,see it as (a) minus (b); decide the grouping
b584940bfebb:7(b),2526_1st_S4MATH1.pdf,7(b),na.approx.bounds;na.approx.round,1,1,1,1,2,2,err.error.bound-direction,claude-draft,draft,bounds of six cans then compare with 8.69 kg
b584940bfebb:8(b),2526_1st_S4MATH1.pdf,8(b),ms.similar.ratio-length;ms.pythag.converse,2,2,2,2,2,1,err.geo.similar-corresponding-sides,claude-draft,draft,find AC from (a) then test the converse
b584940bfebb:12,2526_1st_S4MATH1.pdf,12,na.quad.discriminant-condition,1,2,1,1,1,2,err.quad.discriminant-condition-reversed;err.eq.invalid-root-in-context,claude-draft,draft,k in every coefficient; reject k = 0
b584940bfebb:15,2526_1st_S4MATH1.pdf,15,na.quad.i-powers,2,1,1,0,1,2,err.complex.i-cycle,claude-draft,draft,
b584940bfebb:17,2526_1st_S4MATH1.pdf,17,na.quad.word,2,2,2,1,2,2,err.eq.invalid-root-in-context,claude-draft,draft,model the digits as 10a + b
b584940bfebb:19(c),2526_1st_S4MATH1.pdf,19(c),na.quad.equation-with-new-roots;na.quad.symmetric-functions,1,3,2,1,2,2,err.quad.sum-product-sign;err.surd.not-simplified,claude-draft,draft,surds throughout
b584940bfebb:20(d),2526_1st_S4MATH1.pdf,20(d),ms.coordgeo.section;ms.coord.area-on-grid,2,2,3,2,3,2,err.coord.midpoint-vs-distance,claude-draft,draft,evaluate a claim; devise the check
b584940bfebb:21(b)(ii),2526_1st_S4MATH1.pdf,21(b)(ii),ms.coordgeo.centres;ms.circle.semicircle,3,2,2,2,3,1,,claude-draft,draft,circumcentre on the hypotenuse midpoint iff right angle
a4079fdbf5f3:10(a),2526_2nd_S4MATH1.pdf,10(a),na.quad.solve-formula,0,1,0,0,1,2,err.quad.formula-sign;err.quad.formula-division,claude-draft,draft,method stated: 利用二次公式
a4079fdbf5f3:10(b),2526_2nd_S4MATH1.pdf,10(b),na.eqn.higher-degree-substitution,2,1,1,1,1,1,err.eq.sign-transposing,claude-draft,draft,see 1 + y as x; cue 利用 (a)
a4079fdbf5f3:14,2526_2nd_S4MATH1.pdf,14,na.func.vertex-form,0,2,0,0,1,2,err.quad.vertex-sign,claude-draft,draft,method stated: 利用配方法
