error_id,name_en,name_zh,skills,description
# Errors a question can expose (RPDICE "E"). One row per pattern. skills: the
# skill_ids the error belongs to, separated by ";". Analyzer output and student
# error tagging both reference error_id, so the two can be compared.
# --- algebra: identities and factorisation ---
err.dos.as-square-of-difference,Treats a² − b² as (a − b)²,把 a²−b² 當成 (a−b)²,na.factor.dos;na.identity.dos,Confuses the difference of two squares with the square of a difference.
err.square.missing-cross-term,Expands (a + b)² as a² + b²,展開 (a+b)² 漏 2ab,na.identity.perfect-square,Omits the middle term 2ab.
err.factor.incomplete,Stops before factorising completely,因式分解未完全,na.factor.complete;na.factor.common,Leaves a common factor or a further difference of two squares inside a bracket.
err.factor.sign-in-bracket,Wrong sign inside a bracket when taking out a factor,提公因式時括號內符號錯,na.factor.common;na.algexp.expand-bracket,Especially when the factor taken out is negative.
err.factor.cross-wrong-pair,Wrong pair of factors in the cross method,十字相乘配錯因子,na.factor.cross;na.factor.cross-leading,Product right but sum of cross products wrong or sign wrong.
err.cancel.terms-not-factors,Cancels terms instead of factors in a fraction,約分時約掉項而非因式,na.algfrac.simplify,"Cancels the x in (x + 2)/x, or the 3 in (3x + 1)/3."
err.expand.sign-distribution,Fails to distribute a minus sign over a bracket,負號未分配到括號內每項,na.algexp.expand-bracket,"−(a − b) written as −a − b."
err.like-terms.unlike-combined,Combines unlike terms,合併了不同類項,na.algexp.like-terms,"3x + 2x² written as 5x³ or 5x."
# --- indices, surds, logarithms ---
err.index.add-instead-of-multiply,Adds indices when multiplying bases that differ,不同底相乘時加指數,na.indices.laws,"2³ × 3² treated as 6⁵."
err.index.power-of-sum,Distributes a power over a sum,把乘方分配到和上,na.indices.laws;na.identity.perfect-square,"(a + b)ⁿ written as aⁿ + bⁿ."
err.index.negative-as-negative,Reads a negative index as a negative number,負指數當作負數,na.indices.zero-negative,"2⁻¹ taken as −2."
err.index.zero-as-zero,Takes a⁰ as 0,a⁰ 當作 0,na.indices.zero-negative,
err.surd.root-of-sum,Splits a root over a sum,根號分配到和上,na.rational.surd-operate;ms.pythag.apply,"√(a² + b²) written as a + b."
