# Learning Objectives of the EDB Mathematics C&A Guide (S4-6, 2017): Compulsory Part
# (CP), Module 1 (M1), Module 2 (M2), and of the Supplement on the learning content
# of junior secondary Mathematics (2017; KS3). Extracted from docs/CA_2017_e.pdf and
# docs/jsmc2017_e.pdf by scripts/extract_guide_objectives.py; formulas the PDFs draw
# as images are missing from text and remarks. obj = objective number (a Further
# Learning Unit has one unnumbered objective, given its unit number); nf = blank for
# a Foundation Topic, N = Non-foundation (underlined in the Guide), E = Enrichment
# (** in the KS3 Supplement); time = suggested hours for the unit; page = PDF page.
part,strand,unit_no,unit,obj,nf,time,text,remarks,page
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.1,,19,solve quadratic equations by the factor method,,25
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.2,,,form quadratic equations from given roots 2,The given roots are confined to real numbers.,25
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.3,,,solve the equation ax + bx + c = 0 by plotting 2 the graph of the parabola y = ax + bx + c and reading the x-intercepts,,25
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.4,,,solve quadratic equations by the quadratic formula,The following are not required for students taking only the Foundation Topics:  expressing nonreal roots in the form a ± bi  simplifying expressions involving surds such as,26
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.5,,,understand the relations between the discriminant of a quadratic equation and the nature of its roots,"When  < 0, students have to point out that “the equation has no real roots ” or “the equation hastwo nonreal roots ” as they are expected to recognise the existence of complex numbers in Learning Objective 1.8.",26
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.6,,,solve problems involving quadratic equations,Teachers should select the problems related to students’ experiences. Problems involving complicated equations such as are required only in the Non-foundation Topics and dealt with in Learning Objective 5.4.,26
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.7,N,,understand the relations between the roots and coefficients and form quadratic equations using these relations,"The relations between the roots and coefficients include:  and , where  and  are the roots of the equation 2 ax + bx+ c= 0 and a  0.",27
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.8,,,appreciate the development of the number systems including the system of complex numbers,The topics such as the hierarchy of the number systemsand the conversion between recurring decimals and fractionsmay be discussed.,27
CP,Number and Algebra Strand,1,Quadratic equations in one unknown,1.9,N,,"perform addition, subtraction, multiplication and divisionof complex numbers",Complex numbers are confined to the form a  bi . Note: The coefficients of quadratic equations are confined to real numbers.,27
CP,Number and Algebra Strand,2,Functions and graphs,2.1,,10,"recognise the intuitive concepts of functions, domains and co -domains, independent and dependent variables",Representations like,27
CP,Number and Algebra Strand,2,Functions and graphs,2.2,,,"recognise the notation of functions and use tabular, algebraic and graphical methods to represent functions",1  2 canalso be accepted. The features of the graphs of quadratic,28
CP,Number and Algebra Strand,2,Functions and graphs,2.3,,,understand the features of the graphs of quadratic functions,functions include:  the vertex  the axis of symmetry  the direction of opening  relationswith the axes Students are requiredto find the maximum and minimum values of quadratic functions by the graphical method. The method of completing the square is,28
CP,Number and Algebra Strand,2,Functions and graphs,2.4,N,,find the maximum and minimum values of quadratic functions by the algebraic method,required. Students are required to solve problems related to maximum and minimum values of quadratic functions.,28
CP,Number and Algebra Strand,3,Exponential and logarithmic functions,3.1,N,16,understand the definitions of rational indices,The definitions include and . The lawsof rational indices include:,29
CP,Number and Algebra Strand,3,Exponential and logarithmic functions,3.2,N,,understand the laws of rational indices,p q p + q  a a = a p  q  = a p q pq  (a ) = a p p p  a b = (ab)  The properties of logarithmsinclude:,29
CP,Number and Algebra Strand,3,Exponential and logarithmic functions,3.3,N,,understand the definition and properties of logarithms (including the change of base), log 1 = 0 a  log a = 1 a  log MN = log M + log N a a a  log = log M  log N a a a k  log M = klog M a a  log N= b,29
CP,Number and Algebra Strand,3,Exponential and logarithmic functions,3.4,N,,understand the properties of exponential functions and logarithmic functions and recognise the features of their graphs,The properties and features include:  the domains of the functions x  the function f (x) = a and f (x) = log x a increases (decreases) asx increases for a > 1 (0 < a < 1) x  y = a is symmetric to y = log x a about y= x  the intercepts with the axes  the rate of increasing/the rate of decreasing of the functions (by direct inspection),30
CP,Number and Algebra Strand,3,Exponential and logarithmic functions,3.5,N,,solve exponential equations and logarithmic equations,Equations which can be transformed into x x quadratic equations such as 4 3 2  4 = 0 or log(x  22) + log (x + 26) = 2 are dealt with in Learning Objective 5.3.,30
CP,Number and Algebra Strand,3,Exponential and logarithmic functions,3.6,N,,appreciate the applications of logarithms in real-life situations,The applications such as measuring earthquake intensity in the Richter Scale and sound intensity level in decibels may be discussed.,30
CP,Number and Algebra Strand,3,Exponential and logarithmic functions,3.7,N,,appreciate the development of the concepts of logarithms,The topics such as the historical development of the concepts of logarithms and its applications to the design of some past calculation tools such as slide rules and the logarithmic table may be discussed.,31
CP,Number and Algebra Strand,4,More about polynomials,4.1,,14,perform division of polynomials,Methods other than long division are also accepted.,31
CP,Number and Algebra Strand,4,More about polynomials,4.2,,,understand the remainder theorem,,31
CP,Number and Algebra Strand,4,More about polynomials,4.3,,,understand the factor theorem,Students are required to use factor theorem to 3 3 factorise polynomials such as x  a .,31
CP,Number and Algebra Strand,4,More about polynomials,4.4,N,,understand the concepts of the greatest common divisor and the least common multiple of polynomials,"The terms “H.C.F.” , “gcd”, etc. can be used.",31
CP,Number and Algebra Strand,4,More about polynomials,4.5,N,,"perform addition, subtraction, multiplication and division of rational functions",Computation of rational functions with more than two variables is not required. Rational functionsrefer to algebraic fractions at Key Stage 3.,31
CP,Number and Algebra Strand,5,More about equations,5.1,N,10,"use the graphical method to solve simultaneous equations in two unknowns, one linear and one quadratic in the form y= ax+ bx+ c",,31
CP,Number and Algebra Strand,5,More about equations,5.2,N,,"use the algebraic method to solve simultaneous equations in two unknowns, one linear and one quadratic",,32
CP,Number and Algebra Strand,5,More about equations,5.3,N,,"solve equations (including fractional equations, exponential equations, logarithmic equations and trigonometric equations) which can be transformed into quadratic equations",Solutions for trigonometric equations are confined to the interval from 0to 360.,32
CP,Number and Algebra Strand,5,More about equations,5.4,N,,solve problems involving equations which can be transformed into quadratic equations,Teachers should select the problems related to students’ experience.,32
CP,Number and Algebra Strand,6,Variations,6.1,,7,"understand direct variationsand inverse variations, and their applications to solving real-life problems",,32
CP,Number and Algebra Strand,6,Variations,6.2,,,understand the graphs of direct and inverse variations,,32
CP,Number and Algebra Strand,6,Variations,6.3,,,"understand joint and partial variations, and their applications to solving real-life problems",,32
CP,Number and Algebra Strand,7,Arithmetic and geometric sequences and their summations,7.1,N,17,understand the concept and the properties of arithmetic sequences,"The properties of arithmetic sequences include:  T = ½ ( T + T ) n n–1 n+1  if T , T , T , … is an arithmetic 1 2 3 sequence, thenkT + a , kT + a, kT + a , … is also an arithmetic sequence",32
CP,Number and Algebra Strand,7,Arithmetic and geometric sequences and their summations,7.2,N,,understand the general term of an arithmetic sequence,,33
CP,Number and Algebra Strand,7,Arithmetic and geometric sequences and their summations,7.3,N,,understand the concept and the properties of geometric sequences,"The properties of geometric sequences include: 2  T = T   T n n 1 n+1  if T , T , T , … is a geometric 1 2 3 sequence, then k T , k T , k T , … is 1 2 3 also a geometric sequence",33
CP,Number and Algebra Strand,7,Arithmetic and geometric sequences and their summations,7.4,N,,understand the general term of a geometric sequence,,33
CP,Number and Algebra Strand,7,Arithmetic and geometric sequences and their summations,7.5,N,,understand the general formulae of the sum to a finite number ofterms of an arithmetic sequence and a geometric sequence and use the formulae to solve related problems,Example: geometrical problems involving the sum of arithmetic or geometric sequences.,33
CP,Number and Algebra Strand,7,Arithmetic and geometric sequences and their summations,7.6,N,,explore the general formulae of the sum to infinity for certain geometric sequences and use the formulae to solve related problems,Example: geometrical problems involving infinite sum of the geometric sequences.,33
CP,Number and Algebra Strand,7,Arithmetic and geometric sequences and their summations,7.7,N,,solve related real-life problems,"Examples: problems about interest, growth or depreciation.",33
CP,Number and Algebra Strand,8,Inequalities and linear programming,8.1,,16,solve compound linear inequalities in one unknown,Compound inequalities involving logical connectives “and” or “or” are required. Solving the problems on triangle inequalities is required.,34
CP,Number and Algebra Strand,8,Inequalities and linear programming,8.2,,,solve quadratic inequalities in one unknown by the graphical method,,34
CP,Number and Algebra Strand,8,Inequalities and linear programming,8.3,N,,solve quadratic inequalities in one unknown by the algebraic method,,34
CP,Number and Algebra Strand,8,Inequalities and linear programming,8.4,N,,represent the graphs of linear inequalities in two unknowns in the rectangular coordinate plane,,34
CP,Number and Algebra Strand,8,Inequalities and linear programming,8.5,N,,solve systems of linear inequalities in two unknowns,,34
CP,Number and Algebra Strand,8,Inequalities and linear programming,8.6,N,,solve linear programming problems,,34
