skill_id,strand,unit,name_en,name_zh,form,foundation,prerequisites,guide_ref
# HKDSE Mathematics: Key Stage 3 (S1-3), Compulsory Part (S4-6) and the Extended Part
# modules M1 / M2. One row per atomic skill, checked line by line against the EDB
# Mathematics C&A Guide (S4-6, 2017; docs/CA_2017_e.pdf) and the Supplement on the
# learning content of junior secondary Mathematics (2017; docs/jsmc2017_e.pdf).
# unit = the Guide's Learning Unit (own names only for cross-cutting groups such as
# Factorisation). form = the form it is usually taught in (the Guide fixes strands
# and units, not forms). foundation, from the Guide: F = Foundation Topic, N =
# Non-foundation Topic (underlined in the Guide), E = Enrichment Topic (** in the
# KS3 Supplement); blank only for M1 / M2 and for skills outside the Guide.
# prerequisites: skill_ids separated by ";". guide_ref: the Guide objectives the
# skill comes from, separated by ";" (see taxonomy/guide_objectives.csv), "KS2" for
# primary-school knowledge, "ext" for a skill no objective covers. # = comment.
#
# ============================== KEY STAGE 3 (F1-F3) ==============================
# --- Number and Algebra ---------------------------------------------------------
na.directed.order,na,Directed numbers,Order directed numbers on the number line,在數線上排列有向數,F1,F,,KS3-2.1
na.directed.add-sub,na,Directed numbers,Add and subtract directed numbers,有向數加減,F1,F,na.directed.order,KS3-2.2
na.directed.mul-div,na,Directed numbers,Multiply and divide directed numbers,有向數乘除,F1,F,na.directed.add-sub,KS3-2.2
na.directed.mixed,na,Directed numbers,Evaluate mixed operations with directed numbers,有向數混合運算,F1,F,na.directed.mul-div,KS3-2.2
na.directed.word,na,Directed numbers,Use directed numbers in context (temperature/altitude/finance),有向數應用題,F1,F,na.directed.add-sub,KS3-2.3
na.basic.divisibility,na,Basic computation,"Tests of divisibility of 4, 6, 8 and 9",4、6、8、9 的整除性檢驗,F1,F,,KS3-1.1
na.basic.power,na,Basic computation,Concept of a power (base and index),冪的概念(底數與指數),F1,F,,KS3-1.2
na.basic.prime-factorisation,na,Basic computation,Prime factorisation of a positive integer,正整數的質因數分解,F1,F,na.basic.power,KS3-1.3
na.basic.hcf-lcm,na,Basic computation,H.C.F. and L.C.M. by prime factorisation / short division,以質因數分解或短除法求最大公因數及最小公倍數,F1,F,na.basic.prime-factorisation,KS3-1.4
na.basic.mixed-integers,na,Basic computation,Mixed operations of integers with several levels of brackets,含多層括號的整數混合運算,F1,F,,KS3-1.5
na.basic.mixed-fractions,na,Basic computation,Mixed operations of fractions and decimals,分數與小數的混合運算,F1,F,,KS3-1.6
na.numsys.place-value,na,Laws of integral indices,Read place value in denary and other bases,不同基數的位值,F1,N,,KS3-10.5
na.numsys.binary-denary,na,Laws of integral indices,Convert between binary and denary,二進制與十進制互換,F1,N,na.numsys.place-value,KS3-10.5
na.numsys.hex-denary,na,Laws of integral indices,Convert between hexadecimal and denary,十六進制與十進制互換,F1,E,na.numsys.place-value,KS3-10.6
na.approx.round,na,Approximate values and numerical estimation,Round off to a number of decimal places,四捨五入至指定小數位,F1,F,,KS3-3.1
na.approx.sigfig,na,Approximate values and numerical estimation,Round off to a number of significant figures,四捨五入至指定有效數字,F2,F,na.approx.round,KS3-3.1
na.approx.round-up-down,na,Approximate values and numerical estimation,Round up / round down in context,在情境中進位或捨去,F2,F,na.approx.round,KS3-3.2
na.approx.max-abs-error,na,Errors in measurement,Find the maximum absolute error of a measurement,求最大絕對誤差,F2,F,na.approx.round,KS3-15.2;KS3-15.1
na.approx.bounds,na,Errors in measurement,Find upper and lower limits of a measured value,求量度值的上下限,F2,F,na.approx.max-abs-error,KS3-15.2;KS3-15.3
na.approx.relative-error,na,Errors in measurement,Find relative error,求相對誤差,F2,F,na.approx.max-abs-error,KS3-15.2
na.approx.percentage-error,na,Errors in measurement,Find percentage error,求百分誤差,F2,F,na.approx.relative-error,KS3-15.2;KS3-15.3
na.approx.estimate,na,Approximate values and numerical estimation,Estimate a result by rounding or clustering,用近似策略估算,F2,F,na.approx.round,KS3-3.2;KS3-3.3
na.approx.sci-notation,na,Laws of integral indices,Write and use scientific notation,科學記數法,F2,F,na.indices.laws,KS3-10.4
na.rational.classify,na,Rational and irrational numbers,Classify a number as integer/rational/irrational/real,分辨整數、有理數、無理數、實數,F2,F,,KS3-4.2
na.rational.fraction-decimal,na,Rational and irrational numbers,Convert between fractions and recurring decimals,分數與循環小數互換,F2,F,,KS3-4.2;CP-1.8
na.rational.surd-simplify,na,Rational and irrational numbers,Simplify a surd (√a with a square factor),化簡根式,F3,N,na.rational.classify,KS3-4.3
na.rational.surd-operate,na,Rational and irrational numbers,Add / subtract / multiply / divide surds,根式運算,F3,N,na.rational.surd-simplify,KS3-4.3
na.rational.rationalise,na,Rational and irrational numbers,Rationalise a denominator,有理化分母,F3,N,na.rational.surd-operate,KS3-4.3
na.rational.number-line,na,Rational and irrational numbers,Locate a real number (incl. √2) on the number line,在數線上表示實數,F2,F,na.rational.classify,KS3-4.2
